Disease,Description,Symptoms,Precautions,Medicines,Dosage,Emergency_Signs,Lifestyle_Tips
Disease_952,A simulated disease profile for Disease_952 with common medical symptoms and treatments.,"Rash,Fatigue,Chest pain,Dizziness,Headache","Maintain hygiene,Physical distancing,Eat a balanced diet","Prednisone,Loratadine,Paracetamol","200mg every 8 hours,1 tablet after meals","Loss of consciousness,Uncontrolled bleeding","Daily exercise,Stress management,Hydration"
Disease_953,A simulated disease profile for Disease_953 with common medical symptoms and treatments.,"Muscle pain,Chest pain,Vomiting,Fever,Loss of appetite","Vaccination,Eat a balanced diet,Maintain hygiene","Loratadine,Ibuprofen,Paracetamol","250mg every 6 hours,200mg every 8 hours","Difficulty breathing,Uncontrolled bleeding","Stress management,Adequate sleep,Daily exercise"
Disease_954,A simulated disease profile for Disease_954 with common medical symptoms and treatments.,"Blurred vision,Fatigue,Loss of appetite,Nausea,Fever","Drink plenty of water,Eat a balanced diet,Avoid contact with infected individuals","Paracetamol,Omeprazole,Ibuprofen","1 tablet after meals,500mg twice a day","Loss of consciousness,Difficulty breathing","Stress management,Hydration,Avoid smoking"
Disease_955,A simulated disease profile for Disease_955 with common medical symptoms and treatments.,"Muscle pain,Fatigue,Chest pain,Blurred vision,Headache","Maintain hygiene,Physical distancing,Avoid contact with infected individuals","Cetirizine,Amoxicillin,Aspirin","250mg every 6 hours,10ml thrice a day","High-grade fever,Severe chest pain","Regular checkups,Hydration,Stress management"
Disease_956,A simulated disease profile for Disease_956 with common medical symptoms and treatments.,"Dizziness,Rash,Chest pain,Fatigue,Sore throat","Vaccination,Avoid spicy food,Use protective gear","Prednisone,Azithromycin,Omeprazole","1 tablet after meals,250mg every 6 hours","Severe dehydration,Difficulty breathing","Low-fat diet,Regular checkups,Adequate sleep"
Disease_957,A simulated disease profile for Disease_957 with common medical symptoms and treatments.,"Muscle pain,Headache,Joint pain,Loss of appetite,Fatigue","Vaccination,Maintain hygiene,Physical distancing","Ibuprofen,Paracetamol,Cetirizine","1 tablet after meals,10ml thrice a day","Severe chest pain,Loss of consciousness","Limit alcohol intake,Adequate sleep,Low-fat diet"
Disease_958,A simulated disease profile for Disease_958 with common medical symptoms and treatments.,"Fatigue,Nausea,Chest pain,Cough,Shortness of breath","Rest adequately,Use protective gear,Drink plenty of water","Azithromycin,Metformin,Amoxicillin","200mg every 8 hours,100mg once daily","Severe chest pain,Difficulty breathing","Avoid smoking,Daily exercise,Limit alcohol intake"
Disease_959,A simulated disease profile for Disease_959 with common medical symptoms and treatments.,"Blurred vision,Loss of appetite,Nausea,Fatigue,Cough","Vaccination,Eat a balanced diet,Regular hand washing","Omeprazole,Amoxicillin,Metformin","100mg once daily,500mg twice a day","Severe dehydration,Severe chest pain","Daily exercise,Stress management,Hydration"
Disease_960,A simulated disease profile for Disease_960 with common medical symptoms and treatments.,"Joint pain,Rash,Blurred vision,Loss of appetite,Cough","Rest adequately,Avoid spicy food,Maintain hygiene","Paracetamol,Loratadine,Cetirizine","10ml thrice a day,500mg twice a day","Difficulty breathing,High-grade fever","Regular checkups,Limit alcohol intake,Hydration"
Disease_961,A simulated disease profile for Disease_961 with common medical symptoms and treatments.,"Loss of appetite,Nausea,Rash,Blurred vision,Joint pain","Use protective gear,Eat a balanced diet,Maintain hygiene","Prednisone,Aspirin,Cetirizine","500mg twice a day,250mg every 6 hours","High-grade fever,Loss of consciousness","Stress management,Regular checkups,Avoid smoking"
Disease_962,A simulated disease profile for Disease_962 with common medical symptoms and treatments.,"Fatigue,Blurred vision,Sore throat,Shortness of breath,Vomiting","Avoid spicy food,Regular hand washing,Use protective gear","Ibuprofen,Azithromycin,Paracetamol","100mg once daily,200mg every 8 hours","Loss of consciousness,Uncontrolled bleeding","Limit alcohol intake,Regular checkups,Hydration"
Disease_963,A simulated disease profile for Disease_963 with common medical symptoms and treatments.,"Blurred vision,Sore throat,Fever,Joint pain,Nausea","Rest adequately,Drink plenty of water,Vaccination","Aspirin,Paracetamol,Cetirizine","10ml thrice a day,250mg every 6 hours","Severe dehydration,Uncontrolled bleeding","Regular checkups,Avoid smoking,Limit alcohol intake"
Disease_964,A simulated disease profile for Disease_964 with common medical symptoms and treatments.,"Sore throat,Joint pain,Rash,Headache,Blurred vision","Physical distancing,Maintain hygiene,Avoid spicy food","Omeprazole,Prednisone,Aspirin","200mg every 8 hours,250mg every 6 hours","High-grade fever,Severe dehydration","Avoid smoking,Regular checkups,Limit alcohol intake"
Disease_965,A simulated disease profile for Disease_965 with common medical symptoms and treatments.,"Dizziness,Nausea,Joint pain,Blurred vision,Headache","Avoid spicy food,Eat a balanced diet,Maintain hygiene","Azithromycin,Omeprazole,Metformin","500mg twice a day,250mg every 6 hours","Severe dehydration,Uncontrolled bleeding","Adequate sleep,Hydration,Daily exercise"
Disease_966,A simulated disease profile for Disease_966 with common medical symptoms and treatments.,"Sore throat,Nausea,Muscle pain,Headache,Fatigue","Vaccination,Maintain hygiene,Avoid spicy food","Metformin,Loratadine,Amoxicillin","1 tablet after meals,250mg every 6 hours","High-grade fever,Uncontrolled bleeding","Avoid smoking,Stress management,Hydration"
Disease_967,A simulated disease profile for Disease_967 with common medical symptoms and treatments.,"Muscle pain,Blurred vision,Loss of appetite,Fever,Sore throat","Regular hand washing,Physical distancing,Use protective gear","Aspirin,Azithromycin,Cetirizine","1 tablet after meals,200mg every 8 hours","Loss of consciousness,Severe chest pain","Avoid smoking,Low-fat diet,Regular checkups"
Disease_968,A simulated disease profile for Disease_968 with common medical symptoms and treatments.,"Nausea,Cough,Fever,Dizziness,Chest pain","Avoid spicy food,Rest adequately,Physical distancing","Ibuprofen,Azithromycin,Metformin","100mg once daily,10ml thrice a day","Severe chest pain,Difficulty breathing","Low-fat diet,Stress management,Hydration"
Disease_969,A simulated disease profile for Disease_969 with common medical symptoms and treatments.,"Cough,Rash,Nausea,Dizziness,Joint pain","Regular hand washing,Avoid contact with infected individuals,Rest adequately","Amoxicillin,Omeprazole,Azithromycin","10ml thrice a day,1 tablet after meals","Loss of consciousness,Uncontrolled bleeding","Avoid smoking,Regular checkups,Adequate sleep"
Disease_970,A simulated disease profile for Disease_970 with common medical symptoms and treatments.,"Shortness of breath,Fatigue,Muscle pain,Joint pain,Nausea","Use protective gear,Maintain hygiene,Eat a balanced diet","Metformin,Omeprazole,Ibuprofen","100mg once daily,500mg twice a day","High-grade fever,Severe chest pain","Adequate sleep,Limit alcohol intake,Hydration"
Disease_971,A simulated disease profile for Disease_971 with common medical symptoms and treatments.,"Fatigue,Rash,Loss of appetite,Sore throat,Joint pain","Maintain hygiene,Drink plenty of water,Rest adequately","Omeprazole,Metformin,Loratadine","10ml thrice a day,100mg once daily","Severe dehydration,Severe chest pain","Stress management,Low-fat diet,Adequate sleep"
Disease_972,A simulated disease profile for Disease_972 with common medical symptoms and treatments.,"Joint pain,Fever,Rash,Headache,Chest pain","Use protective gear,Avoid spicy food,Eat a balanced diet","Aspirin,Metformin,Prednisone","10ml thrice a day,200mg every 8 hours","Severe dehydration,Severe chest pain","Hydration,Regular checkups,Limit alcohol intake"
Disease_973,A simulated disease profile for Disease_973 with common medical symptoms and treatments.,"Joint pain,Dizziness,Blurred vision,Muscle pain,Loss of appetite","Use protective gear,Avoid contact with infected individuals,Vaccination","Ibuprofen,Paracetamol,Prednisone","250mg every 6 hours,10ml thrice a day","High-grade fever,Difficulty breathing","Low-fat diet,Avoid smoking,Hydration"
Disease_974,A simulated disease profile for Disease_974 with common medical symptoms and treatments.,"Rash,Fever,Muscle pain,Fatigue,Loss of appetite","Drink plenty of water,Physical distancing,Eat a balanced diet","Aspirin,Prednisone,Loratadine","200mg every 8 hours,100mg once daily","High-grade fever,Uncontrolled bleeding","Stress management,Adequate sleep,Hydration"
Disease_975,A simulated disease profile for Disease_975 with common medical symptoms and treatments.,"Chest pain,Cough,Nausea,Headache,Dizziness","Rest adequately,Vaccination,Regular hand washing","Aspirin,Paracetamol,Metformin","500mg twice a day,10ml thrice a day","Loss of consciousness,Difficulty breathing","Limit alcohol intake,Avoid smoking,Low-fat diet"
Disease_976,A simulated disease profile for Disease_976 with common medical symptoms and treatments.,"Fatigue,Sore throat,Chest pain,Joint pain,Muscle pain","Physical distancing,Use protective gear,Avoid contact with infected individuals","Amoxicillin,Paracetamol,Prednisone","500mg twice a day,1 tablet after meals","Difficulty breathing,Loss of consciousness","Limit alcohol intake,Daily exercise,Avoid smoking"
Disease_977,A simulated disease profile for Disease_977 with common medical symptoms and treatments.,"Loss of appetite,Joint pain,Nausea,Headache,Chest pain","Physical distancing,Rest adequately,Drink plenty of water","Azithromycin,Ibuprofen,Aspirin","500mg twice a day,250mg every 6 hours","Severe dehydration,Difficulty breathing","Avoid smoking,Daily exercise,Regular checkups"
Disease_978,A simulated disease profile for Disease_978 with common medical symptoms and treatments.,"Dizziness,Cough,Fever,Chest pain,Headache","Regular hand washing,Drink plenty of water,Rest adequately","Omeprazole,Ibuprofen,Prednisone","200mg every 8 hours,10ml thrice a day","Loss of consciousness,Severe dehydration","Regular checkups,Avoid smoking,Daily exercise"
Disease_979,A simulated disease profile for Disease_979 with common medical symptoms and treatments.,"Shortness of breath,Vomiting,Joint pain,Cough,Nausea","Rest adequately,Eat a balanced diet,Regular hand washing","Ibuprofen,Omeprazole,Amoxicillin","500mg twice a day,200mg every 8 hours","Difficulty breathing,Severe dehydration","Regular checkups,Daily exercise,Stress management"
Disease_980,A simulated disease profile for Disease_980 with common medical symptoms and treatments.,"Joint pain,Shortness of breath,Cough,Blurred vision,Dizziness","Use protective gear,Regular hand washing,Drink plenty of water","Metformin,Azithromycin,Paracetamol","1 tablet after meals,200mg every 8 hours","Severe dehydration,Uncontrolled bleeding","Hydration,Daily exercise,Stress management"
Disease_981,A simulated disease profile for Disease_981 with common medical symptoms and treatments.,"Cough,Dizziness,Muscle pain,Headache,Shortness of breath","Physical distancing,Avoid spicy food,Drink plenty of water","Paracetamol,Cetirizine,Ibuprofen","250mg every 6 hours,200mg every 8 hours","Loss of consciousness,High-grade fever","Stress management,Limit alcohol intake,Avoid smoking"
Disease_982,A simulated disease profile for Disease_982 with common medical symptoms and treatments.,"Loss of appetite,Sore throat,Vomiting,Muscle pain,Chest pain","Vaccination,Avoid contact with infected individuals,Avoid spicy food","Loratadine,Paracetamol,Prednisone","200mg every 8 hours,250mg every 6 hours","Severe chest pain,Loss of consciousness","Hydration,Stress management,Adequate sleep"
Disease_983,A simulated disease profile for Disease_983 with common medical symptoms and treatments.,"Cough,Chest pain,Fever,Loss of appetite,Joint pain","Avoid spicy food,Rest adequately,Use protective gear","Omeprazole,Loratadine,Amoxicillin","200mg every 8 hours,10ml thrice a day","Loss of consciousness,Difficulty breathing","Hydration,Avoid smoking,Adequate sleep"
Disease_984,A simulated disease profile for Disease_984 with common medical symptoms and treatments.,"Shortness of breath,Nausea,Chest pain,Sore throat,Fever","Maintain hygiene,Eat a balanced diet,Use protective gear","Aspirin,Metformin,Loratadine","10ml thrice a day,250mg every 6 hours","Severe dehydration,Uncontrolled bleeding","Limit alcohol intake,Daily exercise,Regular checkups"
Disease_985,A simulated disease profile for Disease_985 with common medical symptoms and treatments.,"Fatigue,Muscle pain,Nausea,Chest pain,Joint pain","Use protective gear,Avoid contact with infected individuals,Maintain hygiene","Metformin,Paracetamol,Loratadine","200mg every 8 hours,100mg once daily","Severe dehydration,High-grade fever","Adequate sleep,Limit alcohol intake,Hydration"
Disease_986,A simulated disease profile for Disease_986 with common medical symptoms and treatments.,"Muscle pain,Sore throat,Blurred vision,Fever,Shortness of breath","Avoid contact with infected individuals,Vaccination,Rest adequately","Loratadine,Cetirizine,Amoxicillin","10ml thrice a day,1 tablet after meals","Uncontrolled bleeding,Difficulty breathing","Low-fat diet,Adequate sleep,Stress management"
Disease_987,A simulated disease profile for Disease_987 with common medical symptoms and treatments.,"Joint pain,Chest pain,Muscle pain,Loss of appetite,Fatigue","Avoid contact with infected individuals,Drink plenty of water,Avoid spicy food","Omeprazole,Loratadine,Paracetamol","100mg once daily,10ml thrice a day","Loss of consciousness,Severe dehydration","Adequate sleep,Avoid smoking,Limit alcohol intake"
